pb_acc	gene
ENSMUST00000027213.14	Poglut2
ENSMUST00000027214.4	Ercc5
ENSMUST00000027215.12	Tex30
ENSMUST00000027217.9	Ecrg4
ENSMUST00000027226.12	Khdrbs2
ENSMUST00000027230.3	Dnaaf6rt
ENSMUST00000027231.13	Slc9a2
ENSMUST00000027232.15	Ptp4a1
ENSMUST00000027233.9	Slc9a4
ENSMUST00000027237.12	Il18rap
ENSMUST00000027241.11	Il1r1
ENSMUST00000027243.13	Il1r2
ENSMUST00000027247.11	Pdcl3
ENSMUST00000027249.13	Chst10
ENSMUST00000027250.14	Aff3
ENSMUST00000027251.12	Rev1
ENSMUST00000027252.8	Eif5b
ENSMUST00000027254.10	Lyg1
ENSMUST00000027256.12	Mrpl30
ENSMUST00000027257.10	Mitd1
ENSMUST00000027263.14	Stk17b
ENSMUST00000027264.10	Asnsd1
ENSMUST00000027265.10	Osgepl1
ENSMUST00000027266.4	Ormdl1
ENSMUST00000027267.14	Pms1
ENSMUST00000027269.7	Mstn
ENSMUST00000027271.9	Inpp1
ENSMUST00000027277.7	Stat4
ENSMUST00000027279.12	Nabp1
ENSMUST00000027285.13	Unc50
ENSMUST00000027286.7	Coa5
ENSMUST00000027287.11	Inpp4a
ENSMUST00000027288.10	Cnga3
ENSMUST00000027289.14	Vwa3b
ENSMUST00000027290.12	Tmem131
ENSMUST00000027291.7	Zap70
ENSMUST00000027297.11	Plekhb2
ENSMUST00000027298.5	Cfc1
ENSMUST00000027299.10	Prss39
ENSMUST00000027302.14	Ptpn18
ENSMUST00000027303.14	Imp4
ENSMUST00000027312.11	Prim2
ENSMUST00000027315.14	Zfp142
ENSMUST00000027322.14	Rhbdd1
ENSMUST00000027331.3	Tm4sf20
ENSMUST00000027337.15	Fam135a
ENSMUST00000027338.4	Sdhaf4
ENSMUST00000027339.14	Smap1
ENSMUST00000027343.6	Ogfrl1
ENSMUST00000027351.13	Ccl20
ENSMUST00000027356.7	Cyp27a1
ENSMUST00000027357.12	Rnf25
ENSMUST00000027358.11	Bcs1l
ENSMUST00000027362.14	Plcd4
ENSMUST00000027366.13	Vil1
ENSMUST00000027367.14	Ctdsp1
ENSMUST00000027368.6	Slc11a1
ENSMUST00000027370.13	Pnkd
ENSMUST00000027374.7	Tnp1
ENSMUST00000027377.9	Igfbp5
ENSMUST00000027379.10	Xrcc5
ENSMUST00000027380.12	Tmem169
ENSMUST00000027381.13	Pecr
ENSMUST00000027384.6	Atic
ENSMUST00000027393.8	Bard1
ENSMUST00000027394.12	Zfand2b
ENSMUST00000027396.15	Abcb6
ENSMUST00000027401.11	Stk16
ENSMUST00000027404.12	Ptprn
ENSMUST00000027405.6	Slc23a3
ENSMUST00000027409.10	Des
ENSMUST00000027414.16	Stk11ip
ENSMUST00000027415.12	Slc4a3
ENSMUST00000027421.13	Trip12
ENSMUST00000027422.7	Slc16a14
ENSMUST00000027425.16	Itm2c
ENSMUST00000027426.11	4933407L21Rik
ENSMUST00000027429.11	2810459M11Rik
ENSMUST00000027431.7	Htr2b
ENSMUST00000027432.9	Psmd1
ENSMUST00000027434.15	Armc9
ENSMUST00000027438.8	Ncl
ENSMUST00000027440.7	Nmur1
ENSMUST00000027444.15	Pde6d
ENSMUST00000027446.11	Cops7b
ENSMUST00000027449.6	Nppc
ENSMUST00000027451.13	Epha4
ENSMUST00000027455.13	Alppl2
ENSMUST00000027463.11	Ecel1
ENSMUST00000027464.9	Mrpl44
ENSMUST00000027467.11	Serpine2
ENSMUST00000027470.14	Chrng
ENSMUST00000027472.7	Efhd1
ENSMUST00000027475.15	Gigyf2
ENSMUST00000027476.6	Snorc
ENSMUST00000027477.15	Ngef
ENSMUST00000027478.7	Ndufa10
ENSMUST00000027487.15	Rnpepl1
ENSMUST00000027488.11	Capn10
ENSMUST00000027489.9	Gpr35
ENSMUST00000027491.7	Agxt
ENSMUST00000027492.14	Mterf4
ENSMUST00000027493.4	Pask
ENSMUST00000027494.11	Ppp1r7
ENSMUST00000027495.15	Septin2
ENSMUST00000027498.14	Stk25
ENSMUST00000027499.13	Bok
ENSMUST00000027502.16	Atg4b
ENSMUST00000027503.14	Dtymk
ENSMUST00000027505.13	Ing5
ENSMUST00000027507.9	Pdcd1
ENSMUST00000027512.13	Atg16l1
ENSMUST00000027517.14	Dgkd
ENSMUST00000027518.12	Spp2
ENSMUST00000027521.15	Agap1
ENSMUST00000027528.7	Mlph
